"","NO.","url","Coding.combination","Date"
"462",473,"http://www.business-standard.com/india/news/surjit-s-bhalla-need-forchange-in-climate/375613/","GP, IA5, IT8",2009-11-01
"463",474,"http://beta.thehindu.com/opinion/op-ed/article44548.ece?css=print","IS, IA2,",2009-11-01
"464",475,"http://beta.thehindu.com/opinion/op-ed/article44551.ece","GP, A6, D2+ D4, T7",2009-11-01
"465",476,"http://www.business-standard.com/india/news/sreelatha-menonimportancebeing-earnest/375705/","IP, IA2, ID5+ID2, IT9",2009-11-01
"466",477,"http://timesofindia.indiatimes.com/home/environment/global-warming/Climate-Science-vs-Climate-Politics-Who-has-the-greenest-fingers-of-them-all/articleshow/5208413.cms","BZ, IA2, ID3, IT10",2009-11-01
"467",478,"http://timesofindia.indiatimes.com/home/environment/the-good-earth/Planet-too-warm-Bury-the-CO2/articleshow/5208395.cms","S, IA2, ID5+ID6, IT6",2009-11-01
"468",479,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=8&pagesize=&edid=&edlabel=ETD&mydateHid=09-11-2009&pubname=&edname=&publabel=ET","GP, IA2, ID2, IT2 ",2009-11-01
"469",480,"http://www.hindustantimes.com/rssfeed/india/Windward-island/Article1-474272.aspx","GP, IA2, D6+ID6, IT6",2009-11-01
"470",481,"http://www.hindustantimes.com/PM-looks-West-on-emission-cuts/H1-Article1-474221.aspx","GP, IA2, ID2, IT2",2009-11-01
"471",482,"http://www.thehindubusinessline.com/2009/11/09/stories/2009110950681200.htm","GP, IA2, D5, IT1 ",2009-11-01
"472",483,"http://www.thehindubusinessline.com/todays-paper/tp-economy/article1068841.ece?ref=archive","BZ, A2, D5, IT4 ",2009-11-01
"473",484,"http://www.thehindu.com/2009/11/09/stories/2009110955601200.htm","S, IA2, D1, IT1",2009-11-01
"474",485,"http://www.financialexpress.com/news/column-prepare-a-coffin-for-the-global-treaty/538843/0","GP, IA4, IT9",2009-11-01
"475",486,"http://www.financialexpress.com/news/if-you-are-not-sustainable-both-financially-and-ecologically-you-dont-have-a-good-business-model/538872/0","BZ, IA2, ID6, IT4 ",2009-11-01
"476",487,"http://www.livemint.com/Articles/PrintArticle.aspx?artid=049429D2-CE08-11DE-BA7A-000B5DABF613","BZ, A5, IT4 ",2009-11-01
"477",488,"http://www.livemint.com/2009/11/10204446/Climate-change-and-security.html?h=B","IP, IA2, IT1",2009-11-01
"478",489,"http://www.business-standard.com/india/news/climate-change-talks-deadlocked-saran/376045/","GP, IA2, ID6+ID2+D5, IT1",2009-11-01
"479",490,"http://www.hindu.com/2009/11/11/stories/2009111155650900.htm","GP, A6, ",2009-11-01
"480",491,"http://www.financialexpress.com/news/developed-countries-must-pay-for-fight-against-climate-change-says-india/539834/","GP, IA1, ID2+D5, IT2",2009-11-01
"481",492,"http://www.financialexpress.com/news/bholas-5-questions-on-climate-change/539736/0","BZ, IA5, IT10",2009-11-01
"482",493,"http://www.financialexpress.com/news/vegetarianism-the-mantra-to-overcome-climate-change-challenges/539753/0","S, IA2, D5, IT2,",2009-11-01
"483",494,"http://www.thehindubusinessline.com/2009/11/11/stories/2009111150290700.htm","IS, IA5, ID2+ID1, IT2",2009-11-01
"484",495,"http://www.thehindubusinessline.com/2009/11/11/stories/2009111150300700.htm","IP, IA5, IT6",2009-11-01
"485",496,"http://epaper.hindustantimes.com/ArticleText.aspx?article=11_11_2009_011_004&kword=&mode=1","IA2, ID2+D2+D5,",2009-11-01
"486",497,"http://www.hindustantimes.com/special-news-report/rssfeed/Copenhagen-meet-US-pushes-for-compromise/Article1-475424.aspx","GP, A1, D2, T2 ",2009-11-01
"487",498,"http://www.livemint.com/2009/11/11204715/China8217s-climate-conditio.html","BZ, A5, IT9 ",2009-11-01
"488",499,"http://www.livemint.com/2009/11/11222542/Barack-Obama-may-go-to-Copenha.html","GP, A1, D2, T2 ",2009-11-01
"489",500,"http://www.indianexpress.com/news/japan-cranks-up-pressure-on-emission-cuts/540450/","GP, IA2, D2, IT3",2009-11-01
"490",501,"http://www.indianexpress.com/news/helping-brazil-help-us/540413/0","GP, A6, D3 + D8, T1",2009-11-01
"491",502,"http://beta.thehindu.com/news/international/article47042.ece","GP, IA2, D2, IT2",2009-11-01
"492",503,"http://economictimes.indiatimes.com/articleshow/5221429.cms?flstry=1","GP, IA2, D2+ID2, IT2",2009-11-01
"493",504,"http://economictimes.indiatimes.com/articleshow/5221427.cms?flstry=1","GP, IA5, IT6 ",2009-11-01
"494",505,"http://economictimes.indiatimes.com/articleshow/5221380.cms?flstry=1","BZ, IA2, ID6, IT4",2009-11-01
"495",506,"http://in.biz.yahoo.com/091111/50/bauk2j.html","IP, IA2, ID2, IT6",2009-11-01
"496",507,"http://in.biz.yahoo.com/091111/50/bauk38.html","IS, IA2, ID3, IT1",2009-11-01
"497",508,"http://timesofindia.indiatimes.com/india/PM-to-ink-climate-MoU-on-US-visit/articleshow/5220821.cms","GP, IA2, IT2",2009-11-01
"498",509,"http://www.hindustantimes.com/Climate-change-Soft-pressure-on-India-mounts/H1-Article3-475803.aspx","GP, IA2, D2, IT8",2009-11-01
"499",510,"http://www.hindustantimes.com/world-news/india/Clearance-waiver-for-small-green-projects/Article1-475804.aspx","IS, IA2, ID3, IT1",2009-11-01
"500",511,"http://www.thehindu.com/2009/11/13/stories/2009111357520700.htm","IS, IA2, ID3, IT1",2009-11-01
"501",512,"http://economictimes.indiatimes.com/articleshow/5224807.cms?flstry=1","GP, IA5, IT8 ",2009-11-01
"502",513,"http://www.business-standard.com/india/news/fiscal-climate-policy/376279/","GP, A5, T4 ",2009-11-01
"503",514,"http://www.hindustantimes.com/A-question-of-timing/H1-Article3-475788.aspx","IP, IA2, ID2, IT9 ",2009-11-01
"504",515,"http://www.hindustantimes.com/special-news-report/copenhagensummit2009/US-not-to-sign-new-climate-pact-without-Senate-nod/Article3-476117.aspx","GP, IA2, D2, IT2",2009-11-01
"505",516,"http://epaper.hindustantimes.com/ArticleText.aspx?article=14_11_2009_018_010&kword=&mode=1","GP, A6, D2+D3, T4",2009-11-01
"506",517,"http://www.hindu.com/2009/11/14/stories/2009111450040100.htm","GP, IA2, D2, IT2",2009-11-01
"507",518,"http://www.thehindu.com/2009/11/14/stories/2009111454570500.htm","BZ, IA2, ID7, IT1 ",2009-11-01
"508",519,"http://beta.thehindu.com/opinion/op-ed/article48235.ece","GP, A1, D2, T1",2009-11-01
"509",520,"http://www.thehindu.com/2009/11/14/stories/2009111461261000.htm","GP, IA2, D2, IT2",2009-11-01
"510",521,"http://www.hindu.com/2009/11/14/stories/2009111456331000.htm","GP, IA2, D2, IT2 ",2009-11-01
"511",522,"http://epaper.financialexpress.com/FE/FE/2009/11/14/ArticleHtmls/14_11_2009_011_004.shtml","GP, IA2, D5, IT4",2009-11-01
"512",523,"http://economictimes.indiatimes.com/articleshow/5228629.cms?flstry=1","GP, IA2, D2, IT2",2009-11-01
"513",524,"http://www.indianexpress.com/news/us-makes-it-clear-no-law-yet-so-cant-commit-in-copenhagen/541341/0","GP, IA2, D2, IT2",2009-11-01
"514",525,"http://www.thehindubusinessline.com/2009/11/14/stories/2009111450190700.htm","IP , IA2, ID6, IT6",2009-11-01
"515",526,"http://www.thehindubusinessline.com/2009/11/14/stories/2009111450180701.htm","BZ, IA4, IT1",2009-11-01
"516",527,"http://epaper.financialexpress.com/FE/FE/2009/11/14/ArticleHtmls/14_11_2009_011_005.shtml","IP, IA2, ID2, IT6",2009-11-01
"517",528,"http://www.livemint.com/Articles/PrintArticle.aspx?artid=7F566ADC-D069-11DE-B65C-000B5DABF613","GP, IA2, D5, IT2",2009-11-01
"518",529,"http://www.financialexpress.com/printer/news/541530/","BZ, IA2, ID6, IT1",2009-11-01
"519",530,"http://www.reuters.com/article/marketsNews/idUSSIN10163120091113?sp=true","BZ, A1, D6, T6",2009-11-01
"520",531,"http://epaper.financialexpress.com/FE/FE/2009/11/16/ArticleHtmls/16_11_2009_011_004.shtml?Mode=1","GP, IA2, D2, IT6",2009-11-01
"521",532,"http://epaper.financialexpress.com/FE/FE/2009/11/16/ArticleHtmls/16_11_2009_011_006.shtml?Mode=1","BZ, IA5, IT4",2009-11-01
"522",533,"http://epaper.financialexpress.com/FE/FE/2009/11/16/ArticleHtmls/16_11_2009_019_005.shtml?Mode=1","IP, IA2, ID2, IT6",2009-11-01
"523",534,"http://www.hindustantimes.com/special-news-report/rssfeed/Apples-lose-their-crunch-in-Himachal/Article1-476862.aspx","IS, IA2, ID7, IT1",2009-11-01
"524",535,"http://www.hindustantimes.com/Brazil-pledges-big-emissions-cut/H1-Article3-476774.aspx","GP, IA2, D2+ID2, IT8 ",2009-11-01
"525",536,"http://www.hindustantimes.com/speciZal-news-report/copenhagensummit2009/More-bad-news-on-climate-deal/Article3-476830.aspx","GP, A1, D2, T9",2009-11-01
"526",537,"http://www.livemint.com/2009/11/15211650/Leaders-say-prospects-bleak-fo.html?h=B","GP, A6, D2, T2",2009-11-01
"527",538,"http://www.business-standard.com/india/news/%5Cit-is-important-that-we-getpact-at-copenhagen%5C/376570/","GP, IA2, D5, IT2",2009-11-01
"528",539,"http://uk.reuters.com/article/idUKTRE5AE0E420091115?sp=true","GP, A1, D2+D3, T9",2009-11-01
"529",540,"http://www.business-standard.com/india/news/ramesh-to-visit-copenhagen/376572/","GP, IA2, IT6 ",2009-11-01
"530",541,"http://www.thehindubusinessline.com/2009/11/16/stories/2009111651220300.htm","GP, IA2, IT4",2009-11-01
"531",542,"http://www.indianexpress.com/news/leaders-agree-to-delay-a-deal-on-climate-change/541999/0","GP, A6, D2, T1",2009-11-01
"532",543,"http://www.indianexpress.com/news/pachauri-rubbishes-report-on-glaciers/541914/0","IP, IA1, D5, IT9 ",2009-11-01
"533",544,"http://www.hindustantimes.com/Pachauri-rubbishes-govt-backed-report-on-melting-of-glaciers/Article1-476642.aspx","IP, IA1, D5, IT9",2009-11-01
"534",545,"http://articles.timesofindia.indiatimes.com/2009-11-15/india/28059498_1_himalayan-glaciers-gangotri-glacier-climate-change","IP, IA1, D5, IT9",2009-11-01
"535",546,"http://www.hindu.com/seta/2009/11/12/stories/2009111250021300.htm","IP, A6, D5+ID2, T9",2009-11-01
"536",547,"http://timesofindia.indiatimes.com/home/environment/global-warming/Mama-mia-Warming-may-rob-Italy-of-pasta/articleshow/5233641.cms","S, A6, D1, T1",2009-11-01
"537",548,"http://epaper.hindustantimes.com/ArticleText.aspx?article=17_11_2009_019_012&kword=&mode=1","GP, A6, T2",2009-11-01
"538",549,"http://www.thehindu.com/2009/11/17/stories/2009111754190800.htm","GP, IA5, IT4",2009-11-01
"539",550,"http://timesofindia.indiatimes.com/home/opinion/edit-page/Consensus-Cant-Be-Forced/articleshow/5236780.cms","GP, IA5, IT9 ",2009-11-01
"540",551,"http://www.financialexpress.com/news/Copenhagen-climate-pact-out-of-reach-says-Apec/542323/","GP, A6, D2, T2",2009-11-01
"541",552,"http://www.thehindubusinessline.com/2009/11/17/stories/2009111750660500.htm","GP, IA2, IT2 ",2009-11-01
"542",553,"http://www.business-standard.com/india/news/cooperateclimate-change-pm-tells-saran-ramesh/376687/","IP, IA2, IT8",2009-11-01
"543",554,"http://www.indianexpress.com/news/the-heats-on/542469/0","GP, IA2, IT9 ",2009-11-01
"544",555,"http://economictimes.indiatimes.com/Politics/Nation/Quo-vadis-India-from-Copenhagen/articleshow/5237957.cms","GP, IA2, D2+ID2, IT9",2009-11-01
"545",556,"http://economictimes.indiatimes.com/Politics/Nation/Yin-yang-and-a-lot-of-confusion/articleshow/5237959.cms","IP, IA2, ID2, IT8",2009-11-01
"546",557,"http://economictimes.indiatimes.com/articleshow/5237924.cms","GP, A5, D7+D8, IT9 ",2009-11-01
"547",558,"http://timesofindia.indiatimes.com/home/opinion/edit-page/More-Hot-Air/articleshow/5240355.cms","GP, IA2, IT9",2009-11-01
"548",559,"http://www.livemint.com/2009/11/17211447/A-washout-at-Copenhagen.html?d=1","GP, IA5, IT9",2009-11-01
"549",560,"http://www.business-standard.com/india/news/the-wolfthe-lamb/376782/","GP, IA5, IT9  ",2009-11-01
"550",561,"http://www.thehindubusinessline.com/2009/11/18/stories/2009111850090900.htm","IP, IA5, IT9",2009-11-01
"551",562,"http://www.financialexpress.com/news/column-they-have-a-green-soul-in-korea/542844/0","GP, A4, IT6",2009-11-01
"552",563,"http://www.hindu.com/2009/11/18/stories/2009111852720100.htm","GP, A2, D2, IT4 ",2009-11-01
"553",564,"http://beta.thehindu.com/news/international/article50400.ece","BZ, A2, D5+D8, IT6",2009-11-01
"554",565,"http://economictimes.indiatimes.com/articleshow/5241115.cms?flstry=1","GP, IA2, IT1",2009-11-01
"555",566,"http://www.indianexpress.com/news/exit-routes-from-copenhagen/543100/0","GP, IA4, IT4",2009-11-01
"556",567,"http://www.indianexpress.com/news/obama-takes-up-human-rights-with-hu-both-agree-on-climate/543134/0","GP, A1, D2, IT4",2009-11-01
"557",568,"http://www.hindustantimes.com/India-to-sharpen-focus-on-climate/H1-Article3-477515.aspx","IP, IA2, ID2+D5, IT8",2009-11-01
"558",569,"http://timesofindia.indiatimes.com/india/India-targets-1000mw-solar-power-in-2013/articleshow/5240907.cms","IP, IA2, IT6",2009-11-01
"559",570,"http://lite.epaper.timesofindia.com/getpage.aspx?publabel=TOI&city=Delhi","GP, IA2, IT7",2009-11-01
"560",571,"http://timesofindia.indiatimes.com/home/environment/global-warming/World-on-course-for-catastrophic-six-degrees-rise-in-temperature/articleshow/5243325.cms","A1, S, D1, IT7",2009-11-01
"561",572,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=11&pagesize=&edid=&edlabel=CAP&mydateHid=19-11-2009&pubname=&edname=&publabel=TOI","GP, IA2, IT9",2009-11-01
"562",573,"http://www.hindustantimes.com/That-sinking-feeling/H1-Article1-477789.aspx","IS, IA5, IT1",2009-11-01
"563",574,"http://www.hindu.com/seta/2009/11/19/stories/2009111950131200.htm","IP, IA2, D1, IT9",2009-11-01
"564",575,"http://www.thehindu.com/2009/11/19/stories/2009111961241400.htm","GP, A2 D2, IT6  ",2009-11-01
"565",576,"http://www.indianexpress.com/news/why-kyoto-symbol-of-climatechange-fight-wants-to-cut-trees/543530/0","BZ, A2, D5+d8, IT1",2009-11-01
"566",577,"http://www.indianexpress.com/news/energy-intensity-cuts-lowcarbon-growth-planned/543531/0","GP, IA2, IT4",2009-11-01
"567",578,"http://www.indianexpress.com/news/developing-nations-plan-emission-cuts/543522/0","GP, IA2, IT4",2009-11-01
"568",579,"http://www.livemint.com/2009/11/18223007/Climate-talks-make-progress-p.html","GP, A1, D2+ID2+D4, T8",2009-11-01
"569",580,"http://economictimes.indiatimes.com/news/politics/nation/Centre-to-give-50p-incentive-for-every-unit-of-wind-power/articleshow/5245538.cms","IP, IA2, ID2, IT4",2009-11-01
"570",581,"http://economictimes.indiatimes.com/news/politics/nation/India-clears-weather-ahead-of-Copenhagen-climate-summit-/articleshow/5245534.cms","GP, IA2, ID2, IT2",2009-11-01
"571",582,"http://epaper.hindustantimes.com/ArticleText.aspx?article=20_11_2009_001_004&kword=&mode=1","BZ, IA2, ID2, IT6",2009-11-01
"572",583,"http://epaper.hindustantimes.com/ArticleText.aspx?article=20_11_2009_012_032&kword=&mode=1","GP, A5, IT9 ",2009-11-01
"573",584,"http://www.livemint.com/2009/11/19220857/Tackle-rise-in-population-to-f.html","BZ, A1, D5, T1",2009-11-01
"574",585,"http://www.thehindubusinessline.com/2009/11/20/stories/2009112052200100.htm","IP, IA2, ID2, IT6",2009-11-01
"575",586,"http://www.thehindubusinessline.com/2009/11/20/stories/2009112051581500.htm","IP, IA2, ID5, IT6",2009-11-01
"576",587,"http://www.business-standard.com/india/news/climateconfusion/377025/","IP, IA5, IT9",2009-11-01
"577",588,"http://economictimes.indiatimes.com/Politics/Nation/Have-no-big-hopes-from-Copenhagen-Jairam-Ramesh/articleshow/5249202.cms","GP, IA2, ID2, IT1",2009-11-01
"578",589,"http://timesofindia.indiatimes.com/home/environment/global-warming/Govt-admits-it-doesnt-expect-much-from-Copenhagen-meet/articleshow/5248556.cms","GP, IA2, ID2, IT8",2009-11-01
"579",590,"http://www.financialexpress.com/story.php?id=543890","GP, IA2, ID2, IT2",2009-11-01
"580",591,"http://timesofindia.indiatimes.com/home/environment/global-warming/Seas-lose-effectiveness-in-absorbing-CO2/articleshow/5248750.cms","S, A6, D1, T1",2009-11-01
"581",592,"http://www.hindu.com/2009/11/20/stories/2009112054150900.htm","GP, A6, D4, T1",2009-11-01
"582",593,"http://www.hindu.com/2009/11/20/stories/2009112054301100.htm","IP, IA2, ID2, IT4",2009-11-01
"583",594,"http://beta.thehindu.com/business/article51646.ece","GP, IA2, D2, IT4, ",2009-11-01
"584",595,"http://www.thehindu.com/2009/11/20/stories/2009112054261100.htm","GP, IA2, ID2, IT2",2009-11-01
"585",596,"http://beta.thehindu.com/news/cities/Hyderabad/article51412.ece","BZ, IA2, ID3, IT10",2009-11-01
"586",597,"http://www.hindustantimes.com/special-news-report/rssfeed/A-ray-of-hope-for-Gangotri/Article1-478595.aspx","IS, IA2, ID1, IT4",2009-11-01
"587",598,"http://www.hindustantimes.com/india-news/kolkata/Fish-move-north-to-beat-the-heat/Article1-478597.aspx","S, IA2, ID1+ID7, IT1",2009-11-01
"588",599,"http://www.hindustantimes.com/special-news-report/rssfeed/A-warm-winter-an-empty-harvest/Article1-478604.aspx","IS, IA2, ID1+ID7, IT1",2009-11-01
"589",600,"http://www.hindustantimes.com/rssfeed/northindia/In-arid-fields-bumper-crop/Article1-478602.aspx","IA2, ID1+ID7, IT1",2009-11-01
"590",601,"http://www.hindustantimes.com/special-news-report/rssfeed/Ban-Ki-moon-asks-rich-nations-to-pledge-10-bn-at-Copenhagen/Article1-478605.aspx","GP, IA1, D4, IT6",2009-11-01
"591",602,"http://www.thehindu.com/2009/11/21/stories/2009112161951600.htm","IP, IA2, ",2009-11-01
"592",603,"http://www.thehindubusinessline.com/2009/11/21/stories/2009112151991500.htm","IP, IA2, ID2, IT6",2009-11-01
"593",604,"http://www.business-standard.com/india/news/nancy-birdsallarvind-subramanian-reduce-verbal-emissions-first/377144/","GP, A5, IT2 ",2009-11-01
"594",605,"http://www.business-standard.com/india/news/glass-frontsfuture-shock/377149/","BZ, A2, D4, IT1",2009-11-01
"595",606,"http://www.business-standard.com/india/news/govt-to-push-bill-for-settinggreen-body-in-current-session/377152/","IP, IA2, ID2, IT1 ",2009-11-01
"596",607,"http://www.business-standard.com/india/news/jyoti-parikhkirit-parikh-deal-making-at-copenhagen/377183/","GP, IA5, IT2 ",2009-11-01
"597",608,"http://www.thehindubusinessline.com/2009/11/22/stories/2009112251130300.htm","IP, IA2, ID2+ID5, IT1",2009-11-01
"598",609,"http://economictimes.indiatimes.com/articleshow/5256296.cms?flstry=1","GP, I42, IT2 ",2009-11-01
"599",610,"http://www.hindustantimes.com/rssfeed/columns/Global-warning/Article1-478890.aspx","BZ, IA4, IT10",2009-11-01
"600",611,"http://www.hindustantimes.com/Beating-retreat/H1-Article3-479098.aspx","IP, IA5, IT9",2009-11-01
"601",612,"http://www.hindustantimes.com/special-news-report/rssfeed/Turn-veg-fight-climate-change/Article1-479143.aspx","BZ, IA5, IT3",2009-11-01
"602",613,"http://www.indianexpress.com/news/what-to-take-away-from-copenhagen/544905/0","GP, IA5, IT6",2009-11-01
"603",614,"http://www.hindu.com/2009/11/23/stories/2009112359391000.htm","GP, A2, IT8",2009-11-01
"604",615,"http://economictimes.indiatimes.com/articleshow/5259044.cms?flstry=1",NA,2009-11-01
"605",616,"http://www.thehindubusinessline.com/2009/11/23/stories/2009112350190800.htm","GP, IA5, D2+D4, IT9",2009-11-01
"606",618,"http://www.livemint.com/2009/11/22232403/Denmark-says-65-world-leaders.html","GP, A1, T6",2009-11-01
"607",619,"http://www.financialexpress.com/news/column-dont-obsess-about-copenhagen/544822/0","GP, A5, IT6",2009-11-01
"608",620,"http://www.financialexpress.com/news/carbon-space-wars/544834/0","GP, IA5, IT9",2009-11-01
"609",621,"http://www.financialexpress.com/news/reaching-deeper-into-pockets-to-go-green/544857/0","BZ, A6, D2+D6,  T9",2009-11-01
"610",622,"http://www.financialexpress.com/printer/news/544856/","BZ, IA2 ID6, IT4",2009-11-01
"611",623,"http://epaper.hindustantimes.com/ArticleText.aspx?article=24_11_2009_004_002&kword=&mode=1","BZ, IA5, ID8, IT2",2009-11-01
"612",624,"http://www.hindustantimes.com/rssfeed/restofasia/World-Bank-report-is-wrong/Article1-479520.aspx","GP, A1, T9",2009-11-01
"613",625,"http://www.hindustantimes.com/McDonalds-goes-green/Article1-479522.aspx","BZ, A1, D6, T6 ",2009-11-01
"614",626,"http://www.mygreenchannel.org/index.php/my-green-channel/20-november-2009/1005-earth-between-funds-ice.html","GP, A1, D6, T1",2009-11-01
"615",627,"http://www.thehindubusinessline.com/2009/11/24/stories/2009112451651500.htm","IP, IA2, ID2, IT1",2009-11-01
"616",628,"http://www.livemint.com/2009/11/23221313/Gaming-global-warming.html","GP, IA2, IT2",2009-11-01
"617",629,"http://economictimes.indiatimes.com/articleshow/5262839.cms?flstry=1","GP, A5, IT3",2009-11-01
"618",630,"http://www.thehindubusinessline.com/2009/11/24/stories/2009112451711500.htm","IP, IA2, ID2, IT4 ",2009-11-01
"619",631,"http://www.thehindubusinessline.com/2009/11/24/stories/2009112450490800.htm","IP, IA5, IT1",2009-11-01
"620",632,"http://www.business-standard.com/india/news/biofuel-role-limited-says-ramesh/377463/","IP, IA1, ID2, IT1",2009-11-01
"621",633,"http://www.indianexpress.com/news/Biofuel-role-limited-in-India--Ramesh/545130","IP, IA1, ID2, IT1",2009-11-01
"622",634,"http://www.financialexpress.com/news/biofuel-role-limited-in-india-ramesh/545130/","IP, IA1, ID2, IT1",2009-11-01
"623",635,"http://www.financialexpress.com/news/20-000-mw-grid-solar- power-by-2022-under-Nehru-solar-mission/545267/","IP, IA2, ID2, IT4",2009-11-01
"624",636,"http://www.indianexpress.com/news/young-minds-in-city-make-a-wish-for-green-coalition/545370/0","BZ, IA2, ID8, IT10",2009-11-01
"625",637,"http://epaper.indianexpress.com/IE/IEH/2009/11/25/ArticleHtmls/25_11_2009_007_003.shtml?Mode=1","IP, IA2, ID2, IT2",2009-11-01
"626",638,"http://webcache.googleusercontent.com/search?q=cache:PrNmYi_EbAYJ:articles.timesofindia.indiatimes.com/2009-11-25/india/28096206_1_climate-change-jairam-ramesh-minister+%60Won't+accept+legally+binding+emission+cuts'+NOV+2009&cd=2&hl=en&ct=clnk&gl=in&source=www.google.co.in","IP, IA2, ID2, IT2",2009-11-01
"627",639,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=5&pagesize=&edid=&edlabel=ETD&mydateHid=25-11-2009&pubname=&edname=&publabel=ET","IP, IA2, ID2, IT2",2009-11-01
"628",640,"http://www.financialexpress.com/news/india-has-no-obligation-to-reduce-emissions/545663/","IP, IA1, ID2, IT2",2009-11-01
"629",641,"http://www.financialexpress.com/news/carbon-tax-vs-cheap-talk/545706/0","GP, A5, IT2, ",2009-11-01
"630",642,"http://timesofindia.indiatimes.com/home/opinion/edit-page/Talking-Past-Each-Other/articleshow/5265055.cms","GP, A4, IT1",2009-11-01
"631",643,"http://www.hindustantimes.com/special-news-report/rssfeed/Smaller-glaciers-bigger-risk/Article1-479933.aspx","IS, IA2, IT1",2009-11-01
"632",644,"http://www.hindustantimes.com/special-news-report/rssfeed/No-change-in-climate-stance-Jairam/Article1-479918.aspx","IP, IA2, ID2, IT2",2009-11-01
"633",645,"http://www.hindustantimes.com/special-news-report/tabloid-news/The-green-middle-ground/Article1-479873.aspx","IP, IA2, ID2+ID6, IT4",2009-11-01
"634",646,"http://epaper.hindustantimes.com/ArticleText.aspx?article=26_11_2009_014_005&kword=&mode=1","BZ, IA2, ID8, IT6",2009-11-01
"635",647,"http://timesofindia.indiatimes.com/india/China-calls-meet-of-key-developing-countries-on-climate-change/articleshow/5269267.cms","GP, IA2, IT8",2009-11-01
"636",648,"http://www.hindu.com/2009/11/25/stories/2009112561211400.htm","IP, IA2, ID2, IT2",2009-11-01
"637",649,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=26&pagesize=&edid=&edlabel=ETD&mydateHid=26-11-2009&pubname=&edname=&publabel=ET","S, IA2, D5, IT1",2009-11-01
"638",650,"http://www.hindustantimes.com/special-news-report/rssfeed/Emissions-cuts-not-at-price-of-growth/Article1-480267.aspx","GP, A1, D2, T2",2009-11-01
"639",651,"http://www.indianexpress.com/news/Obama-to-attend-climate-meet/546304","GP, A6, T6",2009-11-01
"640",652,"http://www.livemint.com/2009/11/25214949/The-calm-after-the-storm.html","A6, D8, ",2009-11-01
"641",653,"http://economictimes.indiatimes.com/news/news-by-industry/energy/power/Rajasthan-may-attract-Rs-45k-crore-in-solar-power/articleshow/5268496.cms","IP, IA2, ID2, IT4",2009-11-01
"642",654,"http://economictimes.indiatimes.com/Editorial/Negotiate-hard-at-Copenhagen/articleshow/5269885.cms","GP, IA5, IT2",2009-11-01
"643",655,"http://www.hindu.com/2009/11/26/stories/2009112661261200.htm","GP, IA2, ID5, IT4",2009-11-01
"644",656,"http://beta.thehindu.com/sci-tech/energy-and-environment/article54870.ece","S, A2, D1, IT1",2009-11-01
"645",657,"http://www.thehindu.com/2009/11/27/stories/2009112756251000.htm","GP, IA2, D2, IT6",2009-11-01
"646",658,"http://beta.thehindu.com/opinion/lead/article55388.ece?homepage=true","GP, IA5, IT3",2009-11-01
"647",659,"http://www.hindu.com/2009/11/27/stories/2009112758640100.htm","GP, A2, D2+D3, IT1",2009-11-01
"648",660,"http://timesofindia.indiatimes.com/india/US-announces-emission-cuts-China-follows-suit/articleshow/5273374.cms","GP, IA2, D2+ID2, IT9",2009-11-01
"649",661,"http://economictimes.indiatimes.com/Power/Three-new-solar-power-projects-to-be-set-up-in-Gurgaon/articleshow/5271833.cms","IP, IA1 ID2, IT6",2009-11-01
"650",663,"http://www.indianexpress.com/news/solar-energy-to-power-garden-of-five-senses/546737/0","IP, IA2, ID2, IT6",2009-11-01
"651",664,"http://in.news.yahoo.com/48/20091127/1241/top-the-compulsions-of-copenhagen.html","GP, IA5, IT9",2009-11-01
"652",665,"http://www.indianexpress.com/news/day-after-obama-pledges-emission-cuts-china-too-unveils-its-2020-target/546848/0","GP, A6, D2, T1",2009-11-01
"653",666,"http://www.business-standard.com/india/news/china-takes-carbon-vow-before-copenhagen/377808/","GP, A6, D3+D2, T1",2009-11-01
"654",667,"http://www.financialexpress.com/news/obama-to-promise-17-carbon-emission-cut-at-copenhagen-meet/546683/0","GP, A6, D2, T1",2009-11-01
"655",668,"http://www.livemint.com/2009/11/27012108/Quick-Edit--New-hopes-at-Cope.html","GP, IA5, IT4",2009-11-01
"656",669,"http://www.livemint.com/2009/11/27015140/India-won8217t-come-under-p.html","GP, IA2, ID2, IT2",2009-11-01
"657",670,"http://epaper.livemint.com/ArticleText.aspx?article=27_11_2009_001_014&kword=&mode=1","GP, IA2, IT2",2009-11-01
"658",671,"http://www.hindustantimes.com/China-sets-green-goal-puts-India-in-a-hot-spot/H1-Article3-480606.aspx","GP, IA2, ID2, IT1",2009-11-01
"659",672,"http://economictimes.indiatimes.com/news/politics/nation/US-to-help-India-set-up-eco-authority/articleshow/5273612.cms","IP, IA2, ID2, IT6 ",2009-11-01
"660",673,"http://economictimes.indiatimes.com/articleshow/5273580.cms?flstry=1","IP, IA5, IT2",2009-11-01
"661",674,"http://www.business-standard.com/india/news/jairam-ramesh-to-meet-counterpartsbrazil-south-africa-in-china/377831/","GP, IA2, ID2, IT2",2009-11-01
"662",675,"http://www.business-standard.com/india/news/india-inc-getting-over-green-rating-blues/376784/","IP, IA2, ID5+ID6, IT6",2009-11-01
