link_works,repeat,date,Month,Year,Publications,Source,author,City,headline,content,Link,url,theme,theme2,oldtheme,oldtheme2,oldtheme3,impact location if intl,source of the reports,Source of news-gathering,News Initiating body,,,Passive,Types of talking heads,,,TONE,"sub-national policies or impacts (state, city, ecosystem)",name,equity & justice/ burden sharing,problem or the ask,,,temp ambition,Mit or Adpt,default adaptation (communities adaptive approaches) or maladaptation (poor devp choiceS),NAPCC/SAPCC,CO-BENEFITS,IPCC AR5,"COP number (about or around specific cop),COP(in general)","NON-COP CONVENTIONS (G20, BASIC meet, Montreal protocol)",fulltext,RS/LS
,Extra,2,May,2014,HBL,Reporter,V. RISHI KUMAR,hyderabad,India ranked No. 3 in US Green Building Council list,"The US Green Building Council (USGBC) has ranked India as No 3 among the list of top 10 countries for LEED outside of the United States.
 Canada tops the list followed by China, India, South Korea, Taiwan, Germany and Brazil, among others.
 The list demonstrates the global reach of the movement that is transforming the built environment into healthy, high-performing structures that benefit the planet and its people.",http://www.thehindubusinessline.com/news/india-ranked-no-3-in-us-green-building-council-list/article5968730.ece,http://www.thehindubusinessline.com/news/india-ranked-no-3-in-us-green-building-council-list/article5968730.ece,IPL,,IP,,,IND,IA2,B1,C4,,US Green Building Council,,D3,,,T4,,,,,,,,Mit,,,,,,,,
,,16,May,2014,ET,Reuters,,,Cutting CO2 emissions can yield benefits worth billions: Report,"Investing in projects to cut greenhouse gas emissions in poor countries can yield billions of dollars worth of additional benefits in areas ranging from employment to health, a report published on Thursday said.",https://economictimes.indiatimes.com/cutting-co2-emissions-can-yield-benefits-worth-billions-report/articleshow/35168786.cms,https://economictimes.indiatimes.com/cutting-co2-emissions-can-yield-benefits-worth-billions-report/articleshow/35168786.cms,GPL,,GP,,,GLO,A1,B1,C3,C4,"Australia based Net balance, Geneva based Gold Standard, WWF",,D10,,,T4,,,,,,,,Mit,,,COB BAU,IPCC,,,,
,,16,May,2014,ET,Reporter,Kounteya Sinha,London,Collapse of West Antarctic ice sheet has begun: Study,"The collapse of the West Antarctic Ice Sheet, which holds enough water to raise global seas by several feet, has begun.
 University of Washington researchers have used detailed topography maps and computer modelling to confirm that the sheet has started to thin.",http://economictimes.indiatimes.com/environment/global-warming/collapse-of-west-antarctic-ice-sheet-has-begun-study/articleshow/35159353.cms,http://economictimes.indiatimes.com/environment/global-warming/collapse-of-west-antarctic-ice-sheet-has-begun-study/articleshow/35159353.cms,SS,GS,S,,,POL,IA2,B6,C7,,UW's Applied Physics Laboratory. Univ Washington,,D1,,,T1,,,,,,,,,,,,,,,,
,repeat,16,May,2014,TOI,Reporter,Kounteya Sinha,London,Collapse of West Antarctic ice sheet has begun: Study,"The collapse of the West Antarctic Ice Sheet, which holds enough water to raise global seas by several feet, has begun.
 University of Washington researchers have used detailed topography maps and computer modelling to confirm that the sheet has started to thin.",http://timesofindia.indiatimes.com/home/environment/global-warming/Collapse-of-West-Antarctic-ice-sheet-has-begun-Study/articleshow/35159353.cms,http://timesofindia.indiatimes.com/home/environment/global-warming/Collapse-of-West-Antarctic-ice-sheet-has-begun-Study/articleshow/35159353.cms,SS,GS,S,,,POL,IA2,B6,C7,,UW's Applied Physics Laboratory. Univ Washington,,D1,,,T1,,,,,,,,,,,,,,,,
,,16,May,2014,BS,ANI,,Washington,Control methane now or 'Earth may reach the point of no return',Researchers have revealed their fears that unless we control methane now we may not be many years away from an environmental tipping point - and disaster.,http://www.business-standard.com/article/news-ani/control-methane-now-or-earth-may-reach-the-point-of-no-return-114051500433_1.html,http://www.business-standard.com/article/news-ani/control-methane-now-or-earth-may-reach-the-point-of-no-return-114051500433_1.html,SS,,S,,,GLO,IA1,B4,C2,,"journal Energy Science and Engineering, IPCC",,D1,,,T7,,,,,,,,,,,,IPCC AR5,,,,
,extra,16,May,2014,TOI,Reporter,Somesh Jha & Nitin Sethi,New Delhi,Green India Mission caught in a turf battle,"The much-delayed Rs 13,000 crore Green India Mission has run in to rough weather with a controversial decision nominating an IAS officer head despite the Union cabinet decision that it should be headed by an Indian Forest Service (IFS) officer.",http://www.business-standard.com/article/economy-policy/green-india-mission-caught-in-a-turf-battle-114051501384_1.html,http://www.business-standard.com/article/economy-policy/green-india-mission-caught-in-a-turf-battle-114051501384_1.html,IPT,,IP,,,IND,IA2,IB9,IC1,,"MoeF, Veerappa Moily",,,,,IT8,,,,,,,,Mit,,NAPCC,,,,,,
,,30,May,2014,TOI,AP,Jim Kuhnhenn,Washington,White House touts energy policies as rules loom,"President Barack Obama's administration, setting the stage for upcoming restrictions on coal-fired power plants, is making a concerted effort to cast its energy policy as an economic success that is creating jobs, securing the world's biggest oil consumer against international upheavals and shifting energy use to cleaner sources.",http://timesofindia.indiatimes.com/Business/Small-Business/Latest-News/White-House-touts-energy-policies-as-rules-loom/articleshow/35737698.cms,http://timesofindia.indiatimes.com/Business/Small-Business/Latest-News/White-House-touts-energy-policies-as-rules-loom/articleshow/35737698.cms,GPE,,GP,,,US,A1,B1,C1,,"Obama, US gov",,D6,,,T6,,,,,,,,Mit,,,COB BAU,,,,,
,,30,May,2014,BS,AFP,,Washington,Obama wants to force coal plants to reduce emissions: NYTimes,"US President Barack Obama wants to force coal energy plants to reduce emissions and pay for greenhouse gases they do emit through a cap and trade system, the New York Times said today.",http://www.business-standard.com/article/pti-stories/obama-wants-to-force-coal-plants-to-reduce-emissions-nytimes-114052901933_1.html,http://www.business-standard.com/article/pti-stories/obama-wants-to-force-coal-plants-to-reduce-emissions-nytimes-114052901933_1.html,GPT,CM,GP,,,US,A1,B9,C1,,"Obama, US gov",,D2,,,T6,,,,,,,,Mit,,,,,,,,
,,30,May,2014,BS,Opinion,Andrew Sheng,,Kermit's bankers,Global finance must start accounting for climate change,http://www.business-standard.com/article/opinion/andrew-sheng-kermit-s-bankers-114052901902_1.html,http://www.business-standard.com/article/opinion/andrew-sheng-kermit-s-bankers-114052901902_1.html,GPL,,GP,,,GLO,A5,B2,C5,,Global finance,,,,,T6,,,BP,FIN,,,,,,,,IPCC,,,,
,,2,Jun,2014,TOI,PTI,,Kolkata,"Water supply in Ganga, Brahmaputra will increase: Study","Despite the retreating of glaciers in Himalayas, water supply in rivers like Ganga, Brahmaputra and Indus will increase in the coming decades, a new study said. The study was conducted jointly by research organization FutureWater, Netherlands' Utrecht University and the Kathmandu-based International Centre for Integrated Mountain Development.",http://timesofindia.indiatimes.com/Home/Environment/Global-Warming/Water-supply-in-Ganga-Brahmaputra-will-increase-Study/articleshow/35955391.cms,http://timesofindia.indiatimes.com/Home/Environment/Global-Warming/Water-supply-in-Ganga-Brahmaputra-will-increase-Study/articleshow/35955391.cms,MS,,S,,,HIM,IA1,B4,C6,C4,"Utrecht univ, ICIMOD",,D5,,,IT4,,,,,,,,,,,,,,,,
,,2,Jun,2014,BS,IANS,,NEW YORK,Curb carbon emission to slow global warming: Study,"Forget about positioning giant mirrors in space to reduce the amount of sunlight being trapped in the earth's atmosphere or seeding clouds to reduce the amount of light entering earth's atmosphere. Those climate engineering approaches are not likely to be effective or practical in slowing global warming as compared to reducing emissions through conservation, increased energy efficiency and low-carbon fuels",http://www.business-standard.com/article/news-ians/curb-carbon-emission-to-slow-global-warming-study-114060200709_1.html,http://www.business-standard.com/article/news-ians/curb-carbon-emission-to-slow-global-warming-study-114060200709_1.html,GPL,,GP,,,GLO,A1,B4,C6,,UCLA's College of Letters and Science,,D5,,,T6,,,,,,,,Mit,,,,,,,,
,Repeat,2,Jun,2014,BS,ANI,,Washington,Reducing emissions is primary way to fight climate change: Study,"researchers have said that reducing emissions will be the primary way to fight climate change.Daniela Cusack, the study's lead author and an assistant professor of geography in UCLA's College of Letters and Science, said they found that climate engineering doesn't offer a perfect option.",http://www.business-standard.com/article/news-ani/reducing-emissions-is-primary-way-to-fight-climate-change-study-114060200269_1.html,http://www.business-standard.com/article/news-ani/reducing-emissions-is-primary-way-to-fight-climate-change-study-114060200269_1.html,GPL,,GP,,,GLO,IA1,B4,C6,,UCLA's College of Letters and Science,,D5,,,T6,,,,,,,,GEO,,,,,,,,
,,3,Jun,2014,BS,Reporter,Nitin Sethi,New Delhi,Obama's big domestic move too little to impact climate talks,The United States has announced it will reduce carbon dioxide emissions from coal power plants to 30 per cent below 2005 levels by 2030. Many have begun celebrating it as a giant move considering 40 per cent of the country's emissions come from coal power plants. Is there anything to celebrate here? Plenty for US PresidentBarack Obama domestically perhaps.,http://www.business-standard.com/article/economy-policy/obama-s-big-domestic-move-too-little-to-impact-climate-talks-114060300226_1.html,http://www.business-standard.com/article/economy-policy/obama-s-big-domestic-move-too-little-to-impact-climate-talks-114060300226_1.html,GPT,,GP,,,US,IA2,B1,C1,,US govt,,D4,,,IT8,,,BP,DCDI,MCOP,,,Mit,,,,,,,,
,,16,Jun,2014,MNT,Reporter,Utpal Bhaskar,New Delhi,India to set up two renewable energy firms,"Plans are underway to form a pair of state-owned joint ventures (JVs) that will oversee the construction of renewable energy projects, contributing to Indiaês energy security and reducing reliance on conventional sources of fuel such as coal.",http://www.livemint.com/Industry/TQ0G0KAjZbqYc5UlwI5nwM/India-to-set-up-two-renewable-energy-firms.html,http://www.livemint.com/Industry/TQ0G0KAjZbqYc5UlwI5nwM/India-to-set-up-two-renewable-energy-firms.html,IPL,,IP,,,IND,IA2,IB2,IC1,,"IOC, BP, HP",,ID2,,,IT6,,,,,,,,Mit,,NAPCC,COB BAU,,,,,
,,16,Jun,2014,MNT,Bloomberg,Nidaa Bakhsh,London,Coalês share of world energy demand at highest since 1970: BP,"London: Coal dominated world energy markets last year by supplying the biggest share of demand since 1970, making it the fastest growing fossil fuel, according to an annual review by BP Plc. Nidaa Bakhsh",http://www.livemint.com/Industry/7mvpB32v4v1k8FyGc592kL/Coals-share-of-world-energy-demand-at-highest-since-1970-B.html?utm_source=copy,http://www.livemint.com/Industry/7mvpB32v4v1k8FyGc592kL/Coals-share-of-world-energy-demand-at-highest-since-1970-B.html?utm_source=copy,GPL,,GP,,,GLO,A1,B1,C5,,BP Energy review,,D6,,,T6,,,,,,,,mit,,,,,,,,
,,16,Jun,2014,BS,Reporter,Gireesh Babu,Chennai,Renewable energy financier seeks Rs 150 cr equity infusion,"Chennai: Indian Renewable Energy Development Agency Ltd (IREDA), the financing agency supporting renewable energy projects in India, said it was expecting Rs 150-200 crore equity infusion from the Centre. The agency also requested the Centre to reduce the guarantee fee to bring down the interest rates.",http://www.business-standard.com/article/economy-policy/rnewable-energy-financier-seeks-rs-150-cr-equity-infusion-114061600410_1.html,http://www.business-standard.com/article/economy-policy/rnewable-energy-financier-seeks-rs-150-cr-equity-infusion-114061600410_1.html,IPE,,IP,,,IND,IA2,IB2,IC1,,Indian Renewable Energy Development Agency,,ID2,,,IT6,,,,,,,,Mit,,,,,,,,
,,30,Jun,2014,ET,AP,,Los Angeles,NASA to launch global warming satellite after loss,$468 million mission is designed to study the main driver of climate change emitted from smokestacks and tailpipes. The $468 million mission is designed to study the main driver of climate change emitted from smokestacks and tailpipes.,http://economictimes.indiatimes.com/industry/et-cetera/nasa-to-launch-global-warming-satellite-after-loss/articleshow/37502451.cms,http://economictimes.indiatimes.com/industry/et-cetera/nasa-to-launch-global-warming-satellite-after-loss/articleshow/37502451.cms,GPL,,GP,,,GLO,A1,B1,C7,,NASA,,,,,IT6,,,,,,,,Mit,,,,,,,,
,repeat,30,Jun,2014,BS,AP,,Los Angeles,NASA to launch global warming satellite after loss,$468 million mission is designed to study the main driver of climate change emitted from smokestacks and tailpipes. The $468 million mission is designed to study the main driver of climate change emitted from smokestacks and tailpipes.,http://www.business-standard.com/article/pti-stories/nasa-to-launch-global-warming-satellite-after-loss-114062900724_1.html,http://www.business-standard.com/article/pti-stories/nasa-to-launch-global-warming-satellite-after-loss-114062900724_1.html,GPL,,GP,,,GLO,A1,B1,C7,,NASA,,,,,IT6,,,,,,,,Mit,,,,,,,,
,,30,Jun,2014,HDU,Opinion,Jairam Ramesh,,Indiaês call at Canc“n conclave,India played a key role in rescuing and reviving the multilateral negotiating process. But this did not get adequate appreciation at home.,http://www.thehindu.com/todays-paper/tp-opinion/indias-call-at-cancn-conclave/article6161282.ece,http://www.thehindu.com/todays-paper/tp-opinion/indias-call-at-cancn-conclave/article6161282.ece,IPT,,IP,,,IND,IA5,BCOP,IC1,,Jairam ramesh on Cancun COP,,,,,IT2,,,BP,IVC,polarised,,,Mit,,,,,COP16,,,
,,30,Jun,2014,BS,PTI,,Washington,Emperor penguins waddling to extinction?,"Emperor penguins are in danger of dramatic declines by the end of the century due to climate change as melting sea ice will have a ripple effect on the iconic animal's food chain, a new research has warned.",http://www.business-standard.com/article/pti-stories/emperor-penguins-waddling-to-extinction-114063000386_1.html,http://www.business-standard.com/article/pti-stories/emperor-penguins-waddling-to-extinction-114063000386_1.html,GS,,S,,,POL,IA1,B4,C7,,Woods Hole Oceanographic Institution,,D5,,,T1,,,,,,,,,,,,IPCC,,,,
,,2,Jul,2014,,PTI,,New Delhi,India to play proactive role to deal with climate change,India today said it will play a proactive role to deal with climate change and strengthen the national action plan to tackle global warming.,http://economictimes.indiatimes.com/news/politics-and-nation/india-to-play-proactive-role-to-deal-with-climate-change/articleshow/37573251.cms,http://economictimes.indiatimes.com/news/politics-and-nation/india-to-play-proactive-role-to-deal-with-climate-change/articleshow/37573251.cms,IPT,,IP,,,IND,IA1,B1,IC1,C1,"Javdekar, laurant fabius",,ID2,,,IT4,,,BP,DCMFT,F&T,,,M&T,,NAPCC,,,COP,,,
,repeat,2,Jul,2014,BS,PTI,,New Delhi,India to play proactive role to deal with climate change,India today said it will play a proactive role to deal with climate change and strengthen the national action plan to tackle global warming.,http://www.business-standard.com/article/pti-stories/climate-change-india-to-play-proactive-role-114070100893_1.html,http://www.business-standard.com/article/pti-stories/climate-change-india-to-play-proactive-role-114070100893_1.html,IPT,,IP,,,IND,IA1,B1,IC1,C1,"Javdekar, laurant fabius",,ID2,,,IT4,,,BP,DCMFT,F&T,,,M&T,,NAPCC,,,COP,,,
,,2,Jul,2014,HDU,NO byline,,New Delhi,India to play proactive role to deal with climate change,"Minister of State for Environment, Forests and Climate Change Prakash Javadekar on Tuesday assured a French delegation that India would play a proactive role in the next climate change conference in evolving a consensus.",http://www.thehindu.com/news/national/india-to-play-proactive-role-in-evolving-climate-consensus/article6167647.ece,http://www.thehindu.com/news/national/india-to-play-proactive-role-in-evolving-climate-consensus/article6167647.ece,IPT,,IP,,,IND,IA1,B1,IC1,C1,"Javdekar, laurant fabius",,ID2,,,IT4,,,BP,DCMFT,F&T,,,,,,,,,,,
,,2,Jul,2014,BS,Reporter,Nitin Sethi,New Delhi,Paris pact hinges on successful $100 bn Green Climate Fund: Javedakar to French minister,"Actions of the developing countries, including India, in the run up to the Paris summit of world leaders in Climate Change would be predicated on successful operationalisation of the $100 billion Green Climate Fund, the Union environment, forests and climate change minister Prakash Javadekar told the visiting French foreign minister, Laurent Fabius.",http://www.business-standard.com/article/current-affairs/paris-pact-hinges-on-successful-100-bn-green-climate-fund-javedakar-to-french-minister-114070200118_1.html,http://www.business-standard.com/article/current-affairs/paris-pact-hinges-on-successful-100-bn-green-climate-fund-javedakar-to-french-minister-114070200118_1.html,MPT,IJP,IP,,,ACDC,IA2,IB9,IC1,C1,"Javdekar, laurant fabius",,ID2,D2,,IT2,,,BP,DCMFT,F&T,,,,,,,,COP,BASIC,,
,,16,Jul,2014,HT,NO byline,,Chandigargh,Mandi prepares to fight climate change,"Mandi became a part of the increasing network of Asian Cities Climate Change Resilience Network (ACCCRN) which has connected more than 40 core cities in India, Indonesia, Thailand and Vietnam. The network aims to improve the capacity of cities to withstand, prepare for and recover from climate change challenges.",http://www.hindustantimes.com/chandigarh/mandi-prepares-to-fight-climate-change/story-Ij9wfd3eVWiqXTfn7ZR0yO.html,http://www.hindustantimes.com/chandigarh/mandi-prepares-to-fight-climate-change/story-Ij9wfd3eVWiqXTfn7ZR0yO.html,IPL,,IP,,,IND,IA2,IB1,C3,,"Rockefeller, ICLEI",,ID2,,,IT6,CY,Mandi,,,,,,,,,,,,,,
,,16,Jul,2014,HDU,,Meena Menon,New Delhi,Tussle over phasing out ozone-depleting gases,"If it is serious about phasing out ozone-depleting gases by 2030, India needs to evolve a clear stand against persisting with those that have global warming potential and evaluate environmentally-friendly technologies. This is easier said than done as both the",http://www.thehindu.com/sci-tech/energy-and-environment/tussle-over-phasing-out-ozonedepleting-gases/article6212533.ece,http://www.thehindu.com/sci-tech/energy-and-environment/tussle-over-phasing-out-ozonedepleting-gases/article6212533.ece,IPT,BBZ,IP,BZ,,IND,IA2,IB2,C2,IC1,"Open-ended Working Group of the Parties to the Montreal Protocol on Substances that Deplete the Ozone Layer, Moef",,ID6,ID3,,IT6,,,BP,IVC,TECH,,,,,,,,COP,Open-ended Working Group of the Parties to the Montreal Protocol on Substances that Deplete the Ozone Layer,,
,,16,Jul,2014,HDU,Reporter,Shiv Sahay Singh,Kolkata,Rising tides pose a threat to sinking island in Sunderbans,"€Mousuni, one of the 52 inhabited islands of the archipelago, and a vulnerable climate change hotspot, is sinking at a rapid pace.",http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/rising-tides-pose-a-threat-to-sinking-island-in-sunderbans/article6215403.ece,http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/rising-tides-pose-a-threat-to-sinking-island-in-sunderbans/article6215403.ece,IS,,IS,,,IND,IA2,IB5,IC9,,"Sheikh Ilias, panchayat pradhan of Mousuni, Sundarbans",,ID7,,,IT1,ECO,Sundarbans,,,,,,Adpt,,,,,,,,
,extra,16,Jul,2014,BS,IANS,,Fortaleza (Brazil),"BRICS advocate peaceful solution to hot issues
 Business Standard","€The BRICS also called on a conclusion of global climate change negotiations for a legally binding agreement in accordance with the UN Framework Convention on Climate Change, especially the ""common but differentiated responsibilities and respective capabilities"".",http://www.business-standard.com/article/news-ians/brics-advocate-peaceful-solution-to-hot-issues-114071600193_1.html,http://www.business-standard.com/article/news-ians/brics-advocate-peaceful-solution-to-hot-issues-114071600193_1.html,GPT,,GP,,,DC,A1,B3,C2,,BRICS summit,,,,,T6,,,BP,CBDR,,,,,,,,,,BRICS,,
,,29,Jul,2014,BS,ANI,,Washington,Rising levels of water vapour in atmosphere amplifies Global Warming,A new study has revealed that increased water vapour concentration in the atmosphere contributes in global warming process. Scientists at the University of Miami Rosenstiel School of Marine and Atmospheric Science have confirmed that the increased water vapour level in the upper troposphere is a result of human activities.,http://www.business-standard.com/article/news-ani/rising-levels-of-water-vapour-in-atmosphere-amplifies-global-warming-114072901034_1.html,http://www.business-standard.com/article/news-ani/rising-levels-of-water-vapour-in-atmosphere-amplifies-global-warming-114072901034_1.html,GS,,S,,,GLO,IA1,B6,C7,,University of Miami Rosenstiel School of Marine and Atmospheric Science,,D1,,,T6,,,,,,,,,,,,,,,,
,,30,Jul,2014,BS,PTI,,Chicago,New catalyst converts carbon dioxide to fuel,"Scientists, including one of Indian-origin, have synthesised a catalyst that can help convert waste carbon dioxide into syngas, a precursor of gasoline and other energy-rich products.",http://www.business-standard.com/article/pti-stories/new-catalyst-converts-carbon-dioxide-to-fuel-114073001021_1.html,http://www.business-standard.com/article/pti-stories/new-catalyst-converts-carbon-dioxide-to-fuel-114073001021_1.html,GPL,,GP,,,GLO,IA1,B4,C7,,University of Illinois at Chicago,,D1,,,T6,,,,,,,,GEO,,,,,,,,
,,30,Jul,2014,BS,PTI,,Washington,16-foot swells reported in once frozen region of Arctic Ocean,"US researchers have measured swells of more than 16 feet in once frozen region of Arctic Ocean that have the potential to break up ice even faster, threatening an ""ice-free summer"" that could have potentially wide-ranging implications.",http://www.business-standard.com/article/pti-stories/16-foot-swells-reported-in-once-frozen-region-of-arctic-ocean-114073001512_1.html,http://www.business-standard.com/article/pti-stories/16-foot-swells-reported-in-once-frozen-region-of-arctic-ocean-114073001512_1.html,GS,,S,,,POL,IA1,B6,C7,,"e University of Washington, Naval Research Laboratory",,D1,,,T1,,,,,,,,,,,,,,,,
,repeat,29,Jul,2014,TOI,ANI,,Washington,Human inducee water vapour next climate threat,A new study has revealed that increased water vapour concentration in the atmosphere contributes in global warming process. Scientists at the University of Miami Rosenstiel School of Marine and Atmospheric Science have confirmed that the increased water vapour level in the upper troposphere is a result of human activities.,http://www.business-standard.com/article/pti-stories/increase-in-atmospheric-moisture-tied-to-human-activities-114072900912_1.html,http://www.business-standard.com/article/pti-stories/increase-in-atmospheric-moisture-tied-to-human-activities-114072900912_1.html,GS,,S,,,GLO,IA1,B6,C7,,University of Miami Rosenstiel School of Marine and Atmospheric Science,,D1,,,T6,,,,,,,,,,,,,,,,
,,2,Aug,2014,TOI,Reporter,Vishwa Mohan,New Delhi,Clean energy is govt's mantra: Prakash Javadekar,Environment minister Prakash Javadekar on Friday said clean energy was the 'mantra' of his government and promised to utilize money from the National Clean Energy Fund to promote solar and wind power in a big way.,https://timesofindia.indiatimes.com/home/environment/global-warming/Clean-energy-is-govts-mantra-Prakash-Javadekar/articleshow/39444474.cms,https://timesofindia.indiatimes.com/home/environment/global-warming/Clean-energy-is-govts-mantra-Prakash-Javadekar/articleshow/39444474.cms,IPL,,IP,,,IND,IA2,IB1,IC1,IC4,"Javdekar, WWF India, CEEW",,ID5,,,IT6,,,,,,,,Mit,,,,,,,,
,,2,Aug,2014,TOI,PTI,,NEW YORK,Can ants save Earth from global warming?,"Ants may be cooling the Earth by helping trap carbon dioxide from the environment, a new study has claimed.",https://timesofindia.indiatimes.com/home/environment/global-warming/Can-ants-save-Earth-from-global-warming/articleshow/39547238.cms,https://timesofindia.indiatimes.com/home/environment/global-warming/Can-ants-save-Earth-from-global-warming/articleshow/39547238.cms,SS,,S,,,GLO,IA1,B4,C6,,Arizona State University,,D5,,,T6,,,,,,,,MIT,,,,,,,,
,,2,Aug,2014,HDU,Reporter,Meena Menon,Shimla,All weather communication need of the hour in Uttarakhand,"In June 2013, a simple flood early warning system saved many villagers and their livestock on the banks of Jiadal river in Lakhimpur, Assam. But one year after the devastation in Uttarakhand, the state is yet to put in place a foolproof all weather communication system with last mile connectivity.",http://www.thehindu.com/news/national/other-states/all-weather-communication-need-of-the-hour-in-uttarakhand/article6275478.ece,http://www.thehindu.com/news/national/other-states/all-weather-communication-need-of-the-hour-in-uttarakhand/article6275478.ece,IPL,,IP,,,IND,IA2,IB1,IC1,,IMD Uttarakhand,,ID2,ID5,,IT2,SB,"Uttarakhand, Assam",,,,,,Adpt,,,,,,,,
,,16,Aug,2014,TOI,Reporter,Vishwa Mohan,New Delhi,"Ecologists cheer Modi's 'zero defect, zero effect' slogan","NEW DELHI: At a time when India's ""right to grow"" pitch caused concern among environmentalists sceptical about New Delhi's commitment to cut greenhouse gas emissions, Prime Minister Narendra Modi's ""zero defect and zero effect"" remark on Friday came as a clear message that the country would not compromise on its goal of environmental protection.",https://timesofindia.indiatimes.com/home/environment/developmental-issues/Ecologists-cheer-Modis-zero-defect-zero-effect-slogan/articleshow/40312809.cms,https://timesofindia.indiatimes.com/home/environment/developmental-issues/Ecologists-cheer-Modis-zero-defect-zero-effect-slogan/articleshow/40312809.cms,IPL,,IP,,,IND,IA2,IB1,IC1,IC6,"Modi, Pachauri",,ID2,ID5,,IT1,,,,,,,,Mit,,,COB,,,New York Climate summit,,
,,17,Aug,2014,TOI,No byline,,Gurgaon,Municipal Corporation of Gurgaon plans mandatory solar panels in all new buildings,"GURGAON: It could soon be mandatory in Gurgaon to install rooftop solar panels in all new homes, housing societies and commercial buildings.",https://timesofindia.indiatimes.com/city/gurgaon/Municipal-Corporation-of-Gurgaon-plans-mandatory-solar-panels-in-all-new-buildings/articleshow/40325785.cms,https://timesofindia.indiatimes.com/city/gurgaon/Municipal-Corporation-of-Gurgaon-plans-mandatory-solar-panels-in-all-new-buildings/articleshow/40325785.cms,IPL,,IP,,,IND,IA2,IB1,IC1,,Municipal Corporation of Gurgaon,,ID2,,,IT6,CY,Gurgaon,,,,,,Mit,,,,,,,,
,,18,Aug,2014,DNA,Reuters,,Oslo,"Brazil makes progress on saving Amazon rainforest, Indonesia risks setbacks: Norway aid report","Oslo, Reuters: Brazil has made good progress in safeguarding the Amazon rainforest but Indonesia's plans for its forests could face setbacks under a new government, a report commissioned by top forest aid donor Norway said on Monday.",http://www.dnaindia.com/world/report-brazil-makes-progress-on-saving-amazon-rainforest-indonesia-risks-setbacks-norway-aid-report-2011574,http://www.dnaindia.com/world/report-brazil-makes-progress-on-saving-amazon-rainforest-indonesia-risks-setbacks-norway-aid-report-2011574,GPL,,GP,,,DC,A1,B1,C3,,Norwegian Agency for Development Cooperation,,D3,D10,,T6,,,,,,,,Mit,,,,,,,,
,,29,Aug,2014,HDU,No Byline,,Chennai,Slow progress in renewable energy capacity addition,Renewable energy sector in the country still appears to be riding in the slow growth trajectory as the new capacity addition during the current fiscal has been lower when compared with the corresponding period of the previous year.,http://www.thehindu.com/business/Industry/slow-progress-in-renewable-energy-capacity-addition/article6363245.ece,http://www.thehindu.com/business/Industry/slow-progress-in-renewable-energy-capacity-addition/article6363245.ece,IPE,TRC,IP,,,IND,IA2,IB1,IC1,,MNRE,,ID2,,,IT6,,,,,,,,Mit,,,,,,,,
,,30,Aug,2014,BS,Reporter,Nitin Sethi,New Delhi,"US, EU nations try to split developing country group at climate talks","The US and some countries in the European Union (EU) have put pressure on the Phillippines to disassociate from the powerful Like Minded Developing Countries (LMDC) Group, which negotiates at the UN climate change talks along with India and China against the developed countries.",http://www.business-standard.com/article/international/us-eu-nations-play-divide-and-rule-at-climate-talks-114083000664_1.html,http://www.business-standard.com/article/international/us-eu-nations-play-divide-and-rule-at-climate-talks-114083000664_1.html,GPT,IJP,GP,,,ACDC,IA2,IB9,C1,C2,"EU, US, LMDC, Phillippines",,ID1,ID2,,IT3,,,,BP,L&D,CBDR,,Adpt,,,,,COP,,,
,,30,Aug,2014,BS,No byline,,New Delhi,Carbon control: Cess on all fossil fuel mooted,"An expert group on 'Low carbon strategies for inclusive growth' headed by former Planning Commission member Kirit Parikh, has recommended that cess be levied on all fossil fuels, to enable a low carbon-dependent society. The report argues the need to levy a tax similar to coal cess and use it for development of energy-efficient ways to generate power.",http://www.business-standard.com/article/economy-policy/carbon-control-cess-on-all-fossil-fuel-mooted-114083000019_1.html,http://www.business-standard.com/article/economy-policy/carbon-control-cess-on-all-fossil-fuel-mooted-114083000019_1.html,IPL,,IP,,,IND,IA2,IB2,IC6,,expert group on 'Low carbon strategies for inclusive growth',,ID5,,,IT6,,,,,,,,Mit,,,COB,,,,,
,,2,Sept,2014,ET,PTI,,New Delhi,Canadian firms seeking partners in India in renewable energy,As many as 16 companies from Canada are exploring partnership opportunities with Indian firms in the renewable energy space.,https://economictimes.indiatimes.com/industry/energy/power/canadian-firms-seeking-partners-in-india-in-renewable-energy/articleshow/41516580.cms?intenttarget=no,https://economictimes.indiatimes.com/industry/energy/power/canadian-firms-seeking-partners-in-india-in-renewable-energy/articleshow/41516580.cms?intenttarget=no,IPE,BBZ,IP,BZ,,IND,IA1,IB1,C5,,Canadian RE companies,,D2,,,IT6,,,,,,,,Mit,,,,,,,,
,,2,Sept,2014,BS,AFP,,WELLINGTON,UN climate chief says 'door closing' on warming fix,"UN climate change chief Christiana Figueres today warned time was running out for meaningful action on global warming, citing the plight of low-lying Pacific nations facing ever rising seas.",http://www.business-standard.com/article/pti-stories/un-climate-chief-says-door-closing-on-warming-fix-114090200386_1.html,http://www.business-standard.com/article/pti-stories/un-climate-chief-says-door-closing-on-warming-fix-114090200386_1.html,GPT,GS,GP,S,,SIS,A1,B3,C2,,"UN climate change chief Christiana Figueres, UN conference on small island states",,D4,,,T1,,,BP,MCOP,,,,Adpt,default,,,,COP,UN conference on small island states,,
